Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index
2017-04-18,19.979999542236328,20.055999755859375,19.860000610351562,20.016666412353516,20.016666412353516,45535500,-0.25,0.37,-0.19,0.003,20.09600067138672,-0.003947763554076787,19.08996696472168,18.024106826782226,19.782478736145556,19.00131333496033,0.7811654011852269,61.73641457763075,0.194498
2017-04-19,20.163999557495117,20.441333770751953,20.140666961669922,20.368000030517578,20.368000030517578,58470000,-0.08,0.59,-0.44,0.003,20.016666412353516,0.017552054419372895,19.272766971588133,18.087773475646973,19.872558935279713,19.102549386483087,0.7700095487966259,64.4989483853075,0.195286
2017-04-20,20.43400001525879,20.610000610351562,20.01533317565918,20.167333602905273,20.167333602905273,92241000,0.83,0.54,0.26,0.003,20.368000030517578,-0.009852043760391014,19.431100273132323,18.14781349182129,19.917908884145184,19.18142229140325,0.7364865927419331,61.75646465601489,0.19581
2017-04-21,20.133333206176758,20.426666259765625,20.027999877929688,20.373332977294922,20.373332977294922,67647000,-0.28,0.11,-0.15,0.003,20.167333602905273,0.010214507204857885,19.600500297546386,18.20584014892578,19.987974129245146,19.269711971839673,0.7182621574054728,63.47348533494914,0.19607
2017-04-24,20.614667892456055,20.703332901000977,20.40133285522461,20.53533363342285,20.53533363342285,76252500,1.18,0.19,0.5,0.003,20.373332977294922,0.00795160302482031,19.75006694793701,18.257613487243653,20.072183283734024,19.363461724549538,0.708721559184486,64.81147901318732,0.19469
2017-04-25,20.53333282470703,20.93199920654297,20.390666961669922,20.91933250427246,20.91933250427246,101065500,0.65,0.37,-0.07,0.003,20.53533363342285,0.01869942206464186,19.89530019760132,18.3170267868042,20.20251393304763,19.478711411936423,0.7238025211112067,67.82048580461309,0.192738
2017-04-26,20.82466697692871,20.96666717529297,20.600000381469727,20.67799949645996,20.67799949645996,70425000,0.04,0.71,0.32,0.003,20.91933250427246,-0.011536362728744396,20.00436677932739,18.356453437805175,20.27566555818799,19.567547566345574,0.7081179918424141,64.11009191658708,0.189942
2017-04-27,20.779333114624023,20.87266731262207,20.5,20.575332641601562,20.575332641601562,52029000,0.05,-0.13,-0.98,0.003,20.67799949645996,-0.004965028404995117,20.10853338241577,18.393320083618164,20.32176818640546,19.64219831266083,0.6795698737446294,62.54250155994546,0.1863
2017-04-28,20.655332565307617,20.98666763305664,20.53333282470703,20.937999725341797,20.937999725341797,67582500,-0.3,-0.7,-0.61,0.003,20.575332641601562,0.017626304762964198,20.229033374786376,18.439066734313965,20.41657303854951,19.738183602489052,0.6783894360604599,65.73022074488864,0.181813
2017-05-01,20.992000579833984,21.816667556762695,20.987333297729492,21.52199935913086,21.52199935913086,132444000,0.21,0.26,-0.13,0.003,20.937999725341797,0.027891854114518534,20.377466678619385,18.510906715393066,20.586638626331258,19.870318102981038,0.7163205233502197,70.13737617834646,0.163559
2017-05-02,21.600000381469727,21.8439998626709,21.104000091552734,21.25933265686035,21.25933265686035,80742000,0.03,-0.47,-0.21,0.003,21.52199935913086,-0.012204567888302145,20.445366668701173,18.573120040893556,20.690130015643426,19.973208069935062,0.7169219457083642,66.02464551548043,0.156868
2017-05-03,21.17799949645996,21.435333251953125,20.696666717529297,20.73466682434082,20.73466682434082,107001000,-0.19,-0.55,0.22,0.003,21.25933265686035,-0.02467931806646915,20.46976661682129,18.617960052490233,20.696981832366102,20.029612422113267,0.6673694102528351,58.629308493381785,0.150216
